Date;Hour;Station;Ridership
2025-08-01;3;Kengeri Bus Terminal;0
2025-08-01;4;Kengeri Bus Terminal;8
2025-08-01;5;Kengeri Bus Terminal;50
2025-08-01;6;Kengeri Bus Terminal;119
2025-08-01;7;Kengeri Bus Terminal;499
2025-08-01;8;Kengeri Bus Terminal;790
2025-08-01;9;Kengeri Bus Terminal;923
2025-08-01;10;Kengeri Bus Terminal;555
2025-08-01;11;Kengeri Bus Terminal;445
2025-08-01;12;Kengeri Bus Terminal;444
2025-08-01;13;Kengeri Bus Terminal;307
2025-08-01;14;Kengeri Bus Terminal;286
2025-08-01;15;Kengeri Bus Terminal;282
2025-08-01;16;Kengeri Bus Terminal;350
2025-08-01;17;Kengeri Bus Terminal;406
2025-08-01;18;Kengeri Bus Terminal;358
2025-08-01;19;Kengeri Bus Terminal;380
2025-08-01;20;Kengeri Bus Terminal;288
2025-08-01;21;Kengeri Bus Terminal;215
2025-08-01;22;Kengeri Bus Terminal;89
2025-08-01;23;Kengeri Bus Terminal;5
2025-08-01;0;Konanakunte Cross;0
2025-08-01;1;Konanakunte Cross;0
2025-08-01;2;Konanakunte Cross;0
2025-08-01;3;Konanakunte Cross;0
2025-08-01;4;Konanakunte Cross;7
2025-08-01;5;Konanakunte Cross;61
2025-08-01;6;Konanakunte Cross;173
2025-08-01;7;Konanakunte Cross;769
2025-08-01;8;Konanakunte Cross;1296
2025-08-01;9;Konanakunte Cross;1530
2025-08-01;10;Konanakunte Cross;899
2025-08-01;11;Konanakunte Cross;620
2025-08-01;12;Konanakunte Cross;457
2025-08-01;13;Konanakunte Cross;443
2025-08-01;14;Konanakunte Cross;508
2025-08-01;15;Konanakunte Cross;499
2025-08-01;16;Konanakunte Cross;655
2025-08-01;17;Konanakunte Cross;721
2025-08-01;18;Konanakunte Cross;768
2025-08-01;19;Konanakunte Cross;865
2025-08-01;20;Konanakunte Cross;595
2025-08-01;21;Konanakunte Cross;573
2025-08-01;22;Konanakunte Cross;400
2025-08-01;23;Konanakunte Cross;20
2025-08-01;0;Krantivira Sangolli Rayanna Railway Station;0
2025-08-01;1;Krantivira Sangolli Rayanna Railway Station;0
2025-08-01;2;Krantivira Sangolli Rayanna Railway Station;0
2025-08-01;3;Krantivira Sangolli Rayanna Railway Station;0
2025-08-01;4;Krantivira Sangolli Rayanna Railway Station;57
2025-08-01;5;Krantivira Sangolli Rayanna Railway Station;218
2025-08-01;6;Krantivira Sangolli Rayanna Railway Station;640
2025-08-01;7;Krantivira Sangolli Rayanna Railway Station;659
2025-08-01;8;Krantivira Sangolli Rayanna Railway Station;1118
2025-08-01;9;Krantivira Sangolli Rayanna Railway Station;1514
2025-08-01;10;Krantivira Sangolli Rayanna Railway Station;707
2025-08-01;11;Krantivira Sangolli Rayanna Railway Station;572
2025-08-01;12;Krantivira Sangolli Rayanna Railway Station;455
2025-08-01;13;Krantivira Sangolli Rayanna Railway Station;463
2025-08-01;14;Krantivira Sangolli Rayanna Railway Station;378
2025-08-01;15;Krantivira Sangolli Rayanna Railway Station;272
2025-08-01;16;Krantivira Sangolli Rayanna Railway Station;388
2025-08-01;17;Krantivira Sangolli Rayanna Railway Station;598
2025-08-01;18;Krantivira Sangolli Rayanna Railway Station;605
2025-08-01;19;Krantivira Sangolli Rayanna Railway Station;475
2025-08-01;20;Krantivira Sangolli Rayanna Railway Station;439
2025-08-01;21;Krantivira Sangolli Rayanna Railway Station;543
2025-08-01;22;Krantivira Sangolli Rayanna Railway Station;292
2025-08-01;23;Krantivira Sangolli Rayanna Railway Station;37
2025-08-01;0;Krishna Rajendra Market;0
2025-08-01;1;Krishna Rajendra Market;0
2025-08-01;2;Krishna Rajendra Market;0
2025-08-01;3;Krishna Rajendra Market;0
2025-08-01;4;Krishna Rajendra Market;3
2025-08-01;5;Krishna Rajendra Market;53
2025-08-01;6;Krishna Rajendra Market;105
2025-08-01;7;Krishna Rajendra Market;206
2025-08-01;8;Krishna Rajendra Market;426
2025-08-01;9;Krishna Rajendra Market;483
2025-08-01;10;Krishna Rajendra Market;379
2025-08-01;11;Krishna Rajendra Market;391
2025-08-01;12;Krishna Rajendra Market;506
2025-08-01;13;Krishna Rajendra Market;531
2025-08-01;14;Krishna Rajendra Market;534
2025-08-01;15;Krishna Rajendra Market;610
